"Residency_group","delay_stage","n","mean","sd","IQR","ci_low","ci_high"
"Rural/Town","Symptoms to First Referral",14,94.5714285714286,197.143725113554,38,-8.69876997438766,197.841627117245
"Rural/Town","Referral to GP Referral",15,0.8,35.189690048568,13.5,-17.0084402461305,18.6084402461305
"Rural/Town","GP Referral to Admission",16,18.375,35.3852605849762,16.25,1.03622231336169,35.7137776866383
"Rural/Town","Symptoms to Diagnosis",18,112.166666666667,188.171464361629,81.5,25.2358852624048,199.097448070929
"Urban/City","Symptoms to First Referral",84,97.2261904761905,160.913832452245,81.25,62.8141989892239,131.638181963157
"Urban/City","Referral to GP Referral",109,13.302752293578,53.2461969755093,3,3.30663331154164,23.2988712756143
"Urban/City","GP Referral to Admission",140,38.0571428571429,63.8434203556894,69,27.4814653405366,48.6328203737491
"Urban/City","Symptoms to Diagnosis",102,128.088235294118,168.238992133461,94.5,95.4382760541293,160.738194534106
"Overall","Symptoms to First Referral",98,96.8469387755102,165.425995042778,77.25,64.0942627693117,129.599614781709
"Overall","Referral to GP Referral",124,11.7903225806452,51.4500743389997,4.25,2.73443056250823,20.8462145987821
"Overall","GP Referral to Admission",156,36.0384615384615,61.7437874231878,66,26.3492812232329,45.7276418536902
"Overall","Symptoms to Diagnosis",120,125.7,170.628181935424,90.25,95.1707446305717,156.229255369428
