"mean_value","median_value","sd_value","n","ci_low","ci_high","iqr_value","variable","Residency","variable_name","level","proportion","se","Canton_grouped","Screen_or_sympt","Pathway_refer","Stage_diagnosis"
1958.66576086957,1957,12.7823840577097,368,1957.35546120936,1959.97606052977,17,"Year_birth",NA,NA,NA,NA,NA,NA,NA,NA,NA
59.4742857142857,61,13.2646869990312,175,57.4952335583598,61.4533378702117,21,"Age_at_sympt",NA,NA,NA,NA,NA,NA,NA,NA,NA
62.2165898617512,63,12.9894580255914,217,60.4785912123503,63.954588511152,19,"Age_at_diagnosis",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,-0.260852283047624,0.805811411113019,NA,"Residency","Not clear","!!rlang::sym(var)","Not clear",0.272479564032698,0.00272108085245062,NA,NA,NA,NA
NA,NA,NA,4,0.027635129530462,2.15220138273112,NA,"Residency","Rural","!!rlang::sym(var)","Rural",1.08991825613079,0.00541981187040984,NA,NA,NA,NA
NA,NA,NA,29,5.14187404312117,10.6619406707753,NA,"Residency","Town","!!rlang::sym(var)","Town",7.90190735694823,0.0140818026215666,NA,NA,NA,NA
NA,NA,NA,333,87.7693710641505,93.702018581626,NA,"Residency","Urban/city","!!rlang::sym(var)","Urban/city",90.7356948228883,0.0151343048915191,NA,NA,NA,NA
NA,NA,NA,28,4.9133898060491,10.345465779782,NA,"Canton_grouped",NA,"!!rlang::sym(var)","Other",7.62942779291553,0.0138573366676859,"Other",NA,NA,NA
NA,NA,NA,339,89.654534220218,95.0866101939509,NA,"Canton_grouped",NA,"!!rlang::sym(var)","Sarajevo",92.3705722070845,0.0138573366676859,"Sarajevo",NA,NA,NA
NA,NA,NA,18,3.20304976437472,8.40985346143173,NA,"Screen_or_sympt",NA,"!!rlang::sym(var)","Other",5.80645161290323,0.0132826624924924,NA,"Other",NA,NA
NA,NA,NA,22,4.23838662175368,9.9551617653431,NA,"Screen_or_sympt",NA,"!!rlang::sym(var)","Screen mammogrpahy",7.09677419354839,0.0145836100601771,NA,"Screen mammogrpahy",NA,NA
NA,NA,NA,1,-0.308656824557887,0.953818114880468,NA,"Screen_or_sympt",NA,"!!rlang::sym(var)","Screen: Clinical breast exam",0.32258064516129,0.00322059933530193,NA,"Screen: Clinical breast exam",NA,NA
NA,NA,NA,27,5.57069682780813,11.8486580109016,NA,"Screen_or_sympt",NA,"!!rlang::sym(var)","Screen: US",8.70967741935484,0.0160152070997281,NA,"Screen: US",NA,NA
NA,NA,NA,242,73.4579673960984,82.6710648619661,NA,"Screen_or_sympt",NA,"!!rlang::sym(var)","Symptomatic",78.0645161290323,0.0235027996578259,NA,"Symptomatic",NA,NA
NA,NA,NA,2,-0.314206965975438,1.96709952795891,NA,"Pathway_refer",NA,"!!rlang::sym(var)","Other",0.826446280991736,0.0058196594233019,NA,NA,"Other",NA
NA,NA,NA,182,69.7660423327204,80.6471808077755,NA,"Pathway_refer",NA,"!!rlang::sym(var)","Primary",75.2066115702479,0.0277580063139161,NA,NA,"Primary",NA
NA,NA,NA,27,7.19028115038018,15.1237684363967,NA,"Pathway_refer",NA,"!!rlang::sym(var)","Private",11.1570247933884,0.0202384879745319,NA,NA,"Private",NA
NA,NA,NA,31,8.59920963159608,17.0206250791477,NA,"Pathway_refer",NA,"!!rlang::sym(var)","Secondary/tertiary",12.8099173553719,0.0214832026723256,NA,NA,"Secondary/tertiary",NA
NA,NA,NA,69,15.1440203511526,23.2960910694602,NA,"Stage_diagnosis",NA,"!!rlang::sym(var)","1",19.2200557103064,0.020796098771193,NA,NA,NA,"1"
NA,NA,NA,155,38.0516501606385,48.2993247697236,NA,"Stage_diagnosis",NA,"!!rlang::sym(var)","2",43.1754874651811,0.0261420270639924,NA,NA,NA,"2"
NA,NA,NA,84,19.0188704617014,27.7777869199142,NA,"Stage_diagnosis",NA,"!!rlang::sym(var)","3",23.3983286908078,0.0223441746382982,NA,NA,NA,"3"
NA,NA,NA,43,8.61885382702757,15.3365779278471,NA,"Stage_diagnosis",NA,"!!rlang::sym(var)","4",11.9777158774373,0.0171370512776008,NA,NA,NA,"4"
NA,NA,NA,5,0.180482987866195,2.60503233246807,NA,"Stage_diagnosis",NA,"!!rlang::sym(var)","DCIS",1.39275766016713,0.00618507485867825,NA,NA,NA,"DCIS"
NA,NA,NA,3,-0.106018201145092,1.77732739334565,NA,"Stage_diagnosis",NA,"!!rlang::sym(var)","NA",0.835654596100279,0.00480445304717026,NA,NA,NA,"NA"
